YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 03 22 14 30 303  7.1 10.8 99.00 99.00 99.00 999 1012.6   2.0 999.0 999.0 99.0 99.00
2013 03 22 14 40 299  9.3 12.2 99.00 99.00 99.00 999 1012.4   1.9 999.0 999.0 99.0 99.00
2013 03 22 14 50 307  7.3 10.3 99.00 99.00 99.00 999 1012.5   2.1 999.0 999.0 99.0 99.00
2013 03 22 15 00 298  7.9 11.2 99.00 99.00 99.00 999 1012.5   2.4   4.2 999.0 99.0 99.00
2013 03 22 15 10 319  8.6 12.0 99.00 99.00 99.00 999 1012.5   2.4 999.0 999.0 99.0 99.00
2013 03 22 15 20 316  8.0 11.1 99.00 99.00 99.00 999 1012.5   2.5 999.0 999.0 99.0 99.00
2013 03 22 15 30 314  7.0 11.9 99.00 99.00 99.00 999 1012.5   2.6 999.0 999.0 99.0 99.00
2013 03 22 15 40 307  7.4 10.5 99.00 99.00 99.00 999 1012.5   2.6 999.0 999.0 99.0 99.00
2013 03 22 15 50 298  8.2 12.0 99.00 99.00 99.00 999 1012.5   2.7 999.0 999.0 99.0 99.00
2013 03 22 16 00 305  6.0 10.5 99.00 99.00 99.00 999 1012.6   2.9   3.9 999.0 99.0 99.00
2013 03 22 16 10 295  7.2 10.2 99.00 99.00 99.00 999 1012.6   2.8 999.0 999.0 99.0 99.00
2013 03 22 16 20 309  6.3 10.0 99.00 99.00 99.00 999 1012.4   2.9 999.0 999.0 99.0 99.00
2013 03 22 16 30 309  7.2  9.8 99.00 99.00 99.00 999 1012.3   3.1 999.0 999.0 99.0 99.00
2013 03 22 16 40 310  7.8 11.2 99.00 99.00 99.00 999 1012.3   3.0 999.0 999.0 99.0 99.00
2013 03 22 16 50 315  6.6 11.3 99.00 99.00 99.00 999 1012.2   3.3 999.0 999.0 99.0 99.00
2013 03 22 17 00 313  6.9 10.0 99.00 99.00 99.00 999 1012.1   3.4   3.9 999.0 99.0 99.00
2013 03 22 17 10 318  6.9 10.4 99.00 99.00 99.00 999 1012.2   3.6 999.0 999.0 99.0 99.00
2013 03 22 17 20 293  6.7 10.8 99.00 99.00 99.00 999 1012.2   3.5 999.0 999.0 99.0 99.00
2013 03 22 17 30 308  6.0  8.5 99.00 99.00 99.00 999 1012.2   3.6 999.0 999.0 99.0 99.00
2013 03 22 17 40 307  6.1  9.2 99.00 99.00 99.00 999 1012.0   3.9 999.0 999.0 99.0 99.00
2013 03 22 17 50 296  5.6  8.4 99.00 99.00 99.00 999 1012.0   3.9 999.0 999.0 99.0 99.00
2013 03 22 18 00 307  7.0 10.4 99.00 99.00 99.00 999 1011.9   4.0   3.7 999.0 99.0 99.00
2013 03 22 18 10 315  6.9  9.6 99.00 99.00 99.00 999 1011.8   3.9 999.0 999.0 99.0 99.00
2013 03 22 18 20 311  5.0  8.9 99.00 99.00 99.00 999 1011.8   4.2 999.0 999.0 99.0 99.00
2013 03 22 18 30 289  6.6 11.9 99.00 99.00 99.00 999 1011.7   4.4 999.0 999.0 99.0 99.00
2013 03 22 18 40 317  6.5  9.5 99.00 99.00 99.00 999 1011.6   4.3 999.0 999.0 99.0 99.00
2013 03 22 18 50 310  5.7  9.0 99.00 99.00 99.00 999 1011.6   4.4 999.0 999.0 99.0 99.00
2013 03 22 19 00 299  5.1  7.3 99.00 99.00 99.00 999 1011.6   4.6   3.8 999.0 99.0 99.00
2013 03 22 19 10 287  5.1  8.1 99.00 99.00 99.00 999 1011.5   4.8 999.0 999.0 99.0 99.00
2013 03 22 19 20 314  6.4  9.6 99.00 99.00 99.00 999 1011.4   5.1 999.0 999.0 99.0 99.00
2013 03 22 19 30 311  5.5  7.9 99.00 99.00 99.00 999 1011.3   5.0 999.0 999.0 99.0 99.00
2013 03 22 19 40 320  6.3  9.5 99.00 99.00 99.00 999 1011.3   5.1 999.0 999.0 99.0 99.00
2013 03 22 19 50 311  5.6  7.8 99.00 99.00 99.00 999 1011.4   5.1 999.0 999.0 99.0 99.00
2013 03 22 20 00 288  4.3  8.0 99.00 99.00 99.00 999 1011.3   5.3   4.3 999.0 99.0 99.00
2013 03 22 20 10 287  6.4  9.7 99.00 99.00 99.00 999 1011.2   5.6 999.0 999.0 99.0 99.00
2013 03 22 20 20 293  6.7  9.8 99.00 99.00 99.00 999 1011.3   5.5 999.0 999.0 99.0 99.00
2013 03 22 20 30 294  5.9  9.1 99.00 99.00 99.00 999 1011.4   5.6 999.0 999.0 99.0 99.00
2013 03 22 20 40 297  7.3  9.1 99.00 99.00 99.00 999 1011.4   5.6 999.0 999.0 99.0 99.00
2013 03 22 20 50 288  5.7  9.3 99.00 99.00 99.00 999 1011.6   5.6 999.0 999.0 99.0 99.00
2013 03 22 21 00 299  7.8 11.4 99.00 99.00 99.00 999 1011.6   5.6   4.3 999.0 99.0 99.00
2013 03 22 21 10 304  7.0 10.0 99.00 99.00 99.00 999 1011.7   5.5 999.0 999.0 99.0 99.00
2013 03 22 21 20 292  7.6 10.7 99.00 99.00 99.00 999 1011.8   5.5 999.0 999.0 99.0 99.00
2013 03 22 21 30 304  6.8  9.3 99.00 99.00 99.00 999 1011.9   5.5 999.0 999.0 99.0 99.00
2013 03 22 21 40 311  7.9 10.6 99.00 99.00 99.00 999 1012.0   5.6 999.0 999.0 99.0 99.00
2013 03 22 21 50 313  7.5 10.5 99.00 99.00 99.00 999 1012.1   5.6 999.0 999.0 99.0 99.00
